"Data","Segmento","Empresa","GrupoProblema","Ocorrencias"
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Atendimento / SAC",1600
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Cobrança / Contestação",6691
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Contrato / Oferta",2454
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Entrega do Produto",39
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Informação",150
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Saúde e Segurança",16
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Vício de Qualidade",1391
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Atendimento / SAC",301
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Cobrança / Contestação",793
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Contrato / Oferta",319
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Entrega do Produto",60
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Informação",27
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Saúde e Segurança",2
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Vício de Qualidade",253
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Atendimento / SAC",801
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Cobrança / Contestação",1771
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Contrato / Oferta",933
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Entrega do Produto",11
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Informação",62
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Vício de Qualidade",491
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Atendimento / SAC",6
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Cobrança / Contestação",5
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Contrato / Oferta",13
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Vício de Qualidade",11
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Atendimento / SAC",800
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Cobrança / Contestação",1599
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Contrato / Oferta",961
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Informação",69
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Vício de Qualidade",693
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Atendimento / SAC",2
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Cobrança / Contestação",4
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Contrato / Oferta",1
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Atendimento / SAC",316
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Cobrança / Contestação",667
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Contrato / Oferta",263
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Entrega do Produto",18
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Informação",14
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Saúde e Segurança",1
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Vício de Qualidade",197
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Atendimento / SAC",1248
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Cobrança / Contestação",4617
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Contrato / Oferta",1672
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Entrega do Produto",25
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Informação",98
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Saúde e Segurança",5
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Vício de Qualidade",981
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Atendimento / SAC",4064
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Cobrança / Contestação",7884
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Contrato / Oferta",4586
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Entrega do Produto",138
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Informação",143
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Saúde e Segurança",20
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Vício de Qualidade",4177
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Atendimento / SAC",2859
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Cobrança / Contestação",5155
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Contrato / Oferta",2085
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Informação",107
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Vício de Qualidade",1859
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Atendimento / SAC",1920
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Cobrança / Contestação",7257
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Contrato / Oferta",2307
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Entrega do Produto",65
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Informação",180
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Saúde e Segurança",9
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Vício de Qualidade",1864
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Atendimento / SAC",3339
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Cobrança / Contestação",7297
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Contrato / Oferta",4659
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Entrega do Produto",163
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Informação",262
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Saúde e Segurança",27
"2015","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Vício de Qualidade",4665
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Atendimento / SAC",1781
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Cobrança / Contestação",7562
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Contrato / Oferta",2837
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Entrega do Produto",51
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Informação",166
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Saúde e Segurança",13
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Vício de Qualidade",1352
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Atendimento / SAC",282
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Cobrança / Contestação",927
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Contrato / Oferta",309
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Entrega do Produto",39
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Informação",27
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Saúde e Segurança",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Vício de Qualidade",222
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Atendimento / SAC",966
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Cobrança / Contestação",2633
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Contrato / Oferta",1146
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Entrega do Produto",8
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Informação",57
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Saúde e Segurança",2
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Vício de Qualidade",625
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Atendimento / SAC",48
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Cobrança / Contestação",42
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Contrato / Oferta",43
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Informação",2
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Vício de Qualidade",47
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Atendimento / SAC",168
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Cobrança / Contestação",297
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Contrato / Oferta",225
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Informação",15
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT","Vício de Qualidade",166
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT (DESATIVADA)","Atendimento / SAC",98
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT (DESATIVADA)","Cobrança / Contestação",232
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT (DESATIVADA)","Contrato / Oferta",156
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT (DESATIVADA)","Informação",6
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT (DESATIVADA)","Vício de Qualidade",109
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Atendimento / SAC",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Cobrança / Contestação",8
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Atendimento / SAC",1551
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Cobrança / Contestação",4436
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Contrato / Oferta",2584
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Entrega do Produto",4
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Informação",128
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Saúde e Segurança",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Vício de Qualidade",1156
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Atendimento / SAC",584
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Cobrança / Contestação",1367
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Contrato / Oferta",645
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Entrega do Produto",20
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Informação",29
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Saúde e Segurança",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Vício de Qualidade",304
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Atendimento / SAC",1540
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Cobrança / Contestação",5245
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Contrato / Oferta",2224
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Entrega do Produto",22
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Informação",116
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Saúde e Segurança",6
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Vício de Qualidade",1181
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Atendimento / SAC",4231
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Cobrança / Contestação",15041
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Contrato / Oferta",6222
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Entrega do Produto",115
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Informação",223
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Saúde e Segurança",23
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Vício de Qualidade",4885
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Atendimento / SAC",2023
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Cobrança / Contestação",5147
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Contrato / Oferta",1866
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Informação",130
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Vício de Qualidade",1339
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Atendimento / SAC",3381
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Cobrança / Contestação",9735
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Contrato / Oferta",3790
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Entrega do Produto",93
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Informação",312
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Saúde e Segurança",16
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Vício de Qualidade",2965
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Atendimento / SAC",692
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Cobrança / Contestação",1865
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Contrato / Oferta",961
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Entrega do Produto",23
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Informação",58
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Saúde e Segurança",6
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Vício de Qualidade",706
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Atendimento / SAC",3853
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Cobrança / Contestação",11777
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Contrato / Oferta",5674
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Entrega do Produto",121
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Informação",307
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Saúde e Segurança",26
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Vício de Qualidade",3649
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Atendimento / SAC",3
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Cobrança / Contestação",22
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Contrato / Oferta",5
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Informação",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Vício de Qualidade",5
